,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
5,train,dummy,Loss,0.9727412371993451,random_no_constants,2,50,30,70,30,10,40,2,40,2
6,val,transformer,MSE,0.09524060040712357,random_no_constants,2,50,30,70,30,10,40,2,40,2
7,val,transformer,Misrankings score,0.7853535353535354,random_no_constants,2,50,30,70,30,10,40,2,40,2
8,val,transformer,Loss,0.9672026223579433,random_no_constants,2,50,30,70,30,10,40,2,40,2
9,val,dummy,MSE,0.11425977945327759,random_no_constants,2,50,30,70,30,10,40,2,40,2
10,val,dummy,Misrankings score,0.7651515151515151,random_no_constants,2,50,30,70,30,10,40,2,40,2
11,val,dummy,Loss,0.9672026223579433,random_no_constants,2,50,30,70,30,10,40,2,40,2
12,tune,transformer,MSE,0.10250348597764969,random_no_constants,2,50,30,70,30,10,40,2,40,2
13,tune,transformer,Misrankings score,0.7760942760942761,random_no_constants,2,50,30,70,30,10,40,2,40,2
14,tune,transformer,Loss,0.9498434654219223,random_no_constants,2,50,30,70,30,10,40,2,40,2
15,tune,dummy,MSE,0.12844321131706238,random_no_constants,2,50,30,70,30,10,40,2,40,2
16,tune,dummy,Misrankings score,0.7449494949494949,random_no_constants,2,50,30,70,30,10,40,2,40,2
17,tune,dummy,Loss,0.9498434654219223,random_no_constants,2,50,30,70,30,10,40,2,40,2
18,test,transformer,MSE,0.10250348597764969,random_no_constants,2,50,30,70,30,10,40,2,40,2
19,test,transformer,Misrankings score,0.7760942760942761,random_no_constants,2,50,30,70,30,10,40,2,40,2
20,test,transformer,Loss,0.9498434654219223,random_no_constants,2,50,30,70,30,10,40,2,40,2
21,test,dummy,MSE,0.12844321131706238,random_no_constants,2,50,30,70,30,10,40,2,40,2
22,test,dummy,Misrankings score,0.7449494949494949,random_no_constants,2,50,30,70,30,10,40,2,40,2
23,test,dummy,Loss,0.9498434654219223,random_no_constants,2,50,30,70,30,10,40,2,40,2
24,test,ELA,Loss,0.9550868545165774,random_no_constants,2,50,30,70,30,10,40,2,40,2
0,train,transformer,MSE,0.09037091583013535,random_no_constants,3,50,30,20,50,10,40,1,100,2
1,train,transformer,Misrankings score,0.7953026196928636,random_no_constants,3,50,30,20,50,10,40,1,100,2
2,train,transformer,Loss,0.9687229571844784,random_no_constants,3,50,30,20,50,10,40,1,100,2
3,train,dummy,MSE,0.11638864874839783,random_no_constants,3,50,30,20,50,10,40,1,100,2
4,train,dummy,Misrankings score,0.7632339656729901,random_no_constants,3,50,30,20,50,10,40,1,100,2
5,train,dummy,Loss,0.9687229571844784,random_no_constants,3,50,30,20,50,10,40,1,100,2
6,val,transformer,MSE,0.08778933435678482,random_no_constants,3,50,30,20,50,10,40,1,100,2
7,val,transformer,Misrankings score,0.7786195286195287,random_no_constants,3,50,30,20,50,10,40,1,100,2
8,val,transformer,Loss,0.9682027896614265,random_no_constants,3,50,30,20,50,10,40,1,100,2
9,val,dummy,MSE,0.12038332968950272,random_no_constants,3,50,30,20,50,10,40,1,100,2
10,val,dummy,Misrankings score,0.7508417508417509,random_no_constants,3,50,30,20,50,10,40,1,100,2
11,val,dummy,Loss,0.9682027896614265,random_no_constants,3,50,30,20,50,10,40,1,100,2
12,tune,transformer,MSE,0.09321409463882446,random_no_constants,3,50,30,20,50,10,40,1,100,2
13,tune,transformer,Misrankings score,0.8021885521885522,random_no_constants,3,50,30,20,50,10,40,1,100,2
14,tune,transformer,Loss,0.963798085082898,random_no_constants,3,50,30,20,50,10,40,1,100,2
15,tune,dummy,MSE,0.11988857388496399,random_no_constants,3,50,30,20,50,10,40,1,100,2
16,tune,dummy,Misrankings score,0.7567340067340067,random_no_constants,3,50,30,20,50,10,40,1,100,2
17,tune,dummy,Loss,0.963798085082898,random_no_constants,3,50,30,20,50,10,40,1,100,2
18,test,transformer,MSE,0.09321409463882446,random_no_constants,3,50,30,20,50,10,40,1,100,2
19,test,transformer,Misrankings score,0.8021885521885522,random_no_constants,3,50,30,20,50,10,40,1,100,2
20,test,transformer,Loss,0.963798085082898,random_no_constants,3,50,30,20,50,10,40,1,100,2
21,test,dummy,MSE,0.11988857388496399,random_no_constants,3,50,30,20,50,10,40,1,100,2
22,test,dummy,Misrankings score,0.7567340067340067,random_no_constants,3,50,30,20,50,10,40,1,100,2
23,test,dummy,Loss,0.963798085082898,random_no_constants,3,50,30,20,50,10,40,1,100,2
24,test,ELA,Loss,0.9793042242041032,random_no_constants,3,50,30,20,50,10,40,1,100,2
0,train,transformer,MSE,0.09577421844005585,random_no_constants,4,50,30,70,20,40,40,1,80,2
1,train,transformer,Misrankings score,0.7838301716350496,random_no_constants,4,50,30,70,20,40,40,1,80,2
2,train,transformer,Loss,0.9689519038600836,random_no_constants,4,50,30,70,20,40,40,1,80,2
3,train,dummy,MSE,0.11645423620939255,random_no_constants,4,50,30,70,20,40,40,1,80,2
4,train,dummy,Misrankings score,0.7617886178861789,random_no_constants,4,50,30,70,20,40,40,1,80,2
5,train,dummy,Loss,0.9689519038600836,random_no_constants,4,50,30,70,20,40,40,1,80,2
6,val,transformer,MSE,0.1021488681435585,random_no_constants,4,50,30,70,20,40,40,1,80,2
7,val,transformer,Misrankings score,0.7702020202020202,random_no_constants,4,50,30,70,20,40,40,1,80,2
