,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.08657721430063248,random_no_constants,0,50,30,80,20,30,80,3,20,1
1,train,transformer,Misrankings score,0.7026819923371648,random_no_constants,0,50,30,80,20,30,80,3,20,1
2,train,transformer,Loss,0.8846619215301139,random_no_constants,0,50,30,80,20,30,80,3,20,1
3,train,dummy,MSE,0.155290886759758,random_no_constants,0,50,30,80,20,30,80,3,20,1
4,train,dummy,Misrankings score,0.5561758803138114,random_no_constants,0,50,30,80,20,30,80,3,20,1
5,train,dummy,Loss,0.7838349258895547,random_no_constants,0,50,30,80,20,30,80,3,20,1
6,val,transformer,MSE,0.09234220534563065,random_no_constants,0,50,30,80,20,30,80,3,20,1
7,val,transformer,Misrankings score,0.7170068027210884,random_no_constants,0,50,30,80,20,30,80,3,20,1
8,val,transformer,Loss,0.8719677595930431,random_no_constants,0,50,30,80,20,30,80,3,20,1
9,val,dummy,MSE,0.1666269451379776,random_no_constants,0,50,30,80,20,30,80,3,20,1
10,val,dummy,Misrankings score,0.5581632653061225,random_no_constants,0,50,30,80,20,30,80,3,20,1
11,val,dummy,Loss,0.7282520099936844,random_no_constants,0,50,30,80,20,30,80,3,20,1
12,tune,transformer,MSE,0.0990476906299591,random_no_constants,0,50,30,80,20,30,80,3,20,1
13,tune,transformer,Misrankings score,0.6928571428571428,random_no_constants,0,50,30,80,20,30,80,3,20,1
14,tune,transformer,Loss,0.855919953076794,random_no_constants,0,50,30,80,20,30,80,3,20,1
15,tune,dummy,MSE,0.15899676084518433,random_no_constants,0,50,30,80,20,30,80,3,20,1
16,tune,dummy,Misrankings score,0.5489795918367347,random_no_constants,0,50,30,80,20,30,80,3,20,1
17,tune,dummy,Loss,0.7708672106664427,random_no_constants,0,50,30,80,20,30,80,3,20,1
18,test,transformer,MSE,0.0990476906299591,random_no_constants,0,50,30,80,20,30,80,3,20,1
19,test,transformer,Misrankings score,0.6928571428571428,random_no_constants,0,50,30,80,20,30,80,3,20,1
20,test,transformer,Loss,0.855919953076794,random_no_constants,0,50,30,80,20,30,80,3,20,1
21,test,dummy,MSE,0.15899676084518433,random_no_constants,0,50,30,80,20,30,80,3,20,1
22,test,dummy,Misrankings score,0.5489795918367347,random_no_constants,0,50,30,80,20,30,80,3,20,1
23,test,dummy,Loss,0.7708672106664427,random_no_constants,0,50,30,80,20,30,80,3,20,1
24,test,ELA,Loss,0.8821325830689177,random_no_constants,0,50,30,80,20,30,80,3,20,1
0,train,transformer,MSE,0.09245118498802185,random_no_constants,1,50,30,70,20,30,20,2,20,1
1,train,transformer,Misrankings score,0.6842546980478015,random_no_constants,1,50,30,70,20,30,20,2,20,1
2,train,transformer,Loss,0.8765436470672261,random_no_constants,1,50,30,70,20,30,20,2,20,1
3,train,dummy,MSE,0.1553858369588852,random_no_constants,1,50,30,70,20,30,20,2,20,1
4,train,dummy,Misrankings score,0.5519430760810071,random_no_constants,1,50,30,70,20,30,20,2,20,1
5,train,dummy,Loss,0.7782430573499324,random_no_constants,1,50,30,70,20,30,20,2,20,1
6,val,transformer,MSE,0.0993066057562828,random_no_constants,1,50,30,70,20,30,20,2,20,1
7,val,transformer,Misrankings score,0.6860544217687075,random_no_constants,1,50,30,70,20,30,20,2,20,1
8,val,transformer,Loss,0.871320599075826,random_no_constants,1,50,30,70,20,30,20,2,20,1
9,val,dummy,MSE,0.15792061388492584,random_no_constants,1,50,30,70,20,30,20,2,20,1
10,val,dummy,Misrankings score,0.5578231292517006,random_no_constants,1,50,30,70,20,30,20,2,20,1
11,val,dummy,Loss,0.7691007866804852,random_no_constants,1,50,30,70,20,30,20,2,20,1
12,tune,transformer,MSE,0.08752480894327164,random_no_constants,1,50,30,70,20,30,20,2,20,1
13,tune,transformer,Misrankings score,0.6914965986394558,random_no_constants,1,50,30,70,20,30,20,2,20,1
14,tune,transformer,Loss,0.8925715659271144,random_no_constants,1,50,30,70,20,30,20,2,20,1
15,tune,dummy,MSE,0.1511247605085373,random_no_constants,1,50,30,70,20,30,20,2,20,1
16,tune,dummy,Misrankings score,0.5520408163265306,random_no_constants,1,50,30,70,20,30,20,2,20,1
17,tune,dummy,Loss,0.816648065284682,random_no_constants,1,50,30,70,20,30,20,2,20,1
18,test,transformer,MSE,0.08752480894327164,random_no_constants,1,50,30,70,20,30,20,2,20,1
19,test,transformer,Misrankings score,0.6914965986394558,random_no_constants,1,50,30,70,20,30,20,2,20,1
20,test,transformer,Loss,0.8925715659271144,random_no_constants,1,50,30,70,20,30,20,2,20,1
21,test,dummy,MSE,0.1511247605085373,random_no_constants,1,50,30,70,20,30,20,2,20,1
22,test,dummy,Misrankings score,0.5520408163265306,random_no_constants,1,50,30,70,20,30,20,2,20,1
23,test,dummy,Loss,0.816648065284682,random_no_constants,1,50,30,70,20,30,20,2,20,1
24,test,ELA,Loss,0.9085291605477112,random_no_constants,1,50,30,70,20,30,20,2,20,1
0,train,transformer,MSE,0.09109414368867874,random_no_constants,2,50,30,80,50,20,40,2,40,2
1,train,transformer,Misrankings score,0.7171683999270206,random_no_constants,2,50,30,80,50,20,40,2,40,2
2,train,transformer,Loss,0.8837452295621097,random_no_constants,2,50,30,80,50,20,40,2,40,2
3,train,dummy,MSE,0.15632183849811554,random_no_constants,2,50,30,80,50,20,40,2,40,2
4,train,dummy,Misrankings score,0.553621601897464,random_no_constants,2,50,30,80,50,20,40,2,40,2
5,train,dummy,Loss,0.7792125888787134,random_no_constants,2,50,30,80,50,20,40,2,40,2
6,val,transformer,MSE,0.0966624915599823,random_no_constants,2,50,30,80,50,20,40,2,40,2
7,val,transformer,Misrankings score,0.7078231292517007,random_no_constants,2,50,30,80,50,20,40,2,40,2
8,val,transformer,Loss,0.8937844538694681,random_no_constants,2,50,30,80,50,20,40,2,40,2
9,val,dummy,MSE,0.1541573703289032,random_no_constants,2,50,30,80,50,20,40,2,40,2
10,val,dummy,Misrankings score,0.5561224489795918,random_no_constants,2,50,30,80,50,20,40,2,40,2
11,val,dummy,Loss,0.8130131912392287,random_no_constants,2,50,30,80,50,20,40,2,40,2
12,tune,transformer,MSE,0.09604301303625107,random_no_constants,2,50,30,80,50,20,40,2,40,2
13,tune,transformer,Misrankings score,0.7051020408163265,random_no_constants,2,50,30,80,50,20,40,2,40,2
14,tune,transformer,Loss,0.8438140117121263,random_no_constants,2,50,30,80,50,20,40,2,40,2
15,tune,dummy,MSE,0.15389670431613922,random_no_constants,2,50,30,80,50,20,40,2,40,2
16,tune,dummy,Misrankings score,0.5693877551020409,random_no_constants,2,50,30,80,50,20,40,2,40,2
17,tune,dummy,Loss,0.7707239079048531,random_no_constants,2,50,30,80,50,20,40,2,40,2
18,test,transformer,MSE,0.09604301303625107,random_no_constants,2,50,30,80,50,20,40,2,40,2
19,test,transformer,Misrankings score,0.7051020408163265,random_no_constants,2,50,30,80,50,20,40,2,40,2
20,test,transformer,Loss,0.8438140117121263,random_no_constants,2,50,30,80,50,20,40,2,40,2
21,test,dummy,MSE,0.15389670431613922,random_no_constants,2,50,30,80,50,20,40,2,40,2
22,test,dummy,Misrankings score,0.5693877551020409,random_no_constants,2,50,30,80,50,20,40,2,40,2
23,test,dummy,Loss,0.7707239079048531,random_no_constants,2,50,30,80,50,20,40,2,40,2
24,test,ELA,Loss,0.8610832372567028,random_no_constants,2,50,30,80,50,20,40,2,40,2
0,train,transformer,MSE,0.089874267578125,random_no_constants,3,50,30,90,10,30,40,2,80,1
1,train,transformer,Misrankings score,0.7000912242291553,random_no_constants,3,50,30,90,10,30,40,2,80,1
2,train,transformer,Loss,0.879707902339488,random_no_constants,3,50,30,90,10,30,40,2,80,1
3,train,dummy,MSE,0.15588359534740448,random_no_constants,3,50,30,90,10,30,40,2,80,1
4,train,dummy,Misrankings score,0.557781426746944,random_no_constants,3,50,30,90,10,30,40,2,80,1
5,train,dummy,Loss,0.7757100375196975,random_no_constants,3,50,30,90,10,30,40,2,80,1
6,val,transformer,MSE,0.08744177222251892,random_no_constants,3,50,30,90,10,30,40,2,80,1
7,val,transformer,Misrankings score,0.6908163265306122,random_no_constants,3,50,30,90,10,30,40,2,80,1
8,val,transformer,Loss,0.8816043832902931,random_no_constants,3,50,30,90,10,30,40,2,80,1
9,val,dummy,MSE,0.14886899292469025,random_no_constants,3,50,30,90,10,30,40,2,80,1
10,val,dummy,Misrankings score,0.5363945578231293,random_no_constants,3,50,30,90,10,30,40,2,80,1
11,val,dummy,Loss,0.8276770967034982,random_no_constants,3,50,30,90,10,30,40,2,80,1
12,tune,transformer,MSE,0.08655330538749695,random_no_constants,3,50,30,90,10,30,40,2,80,1
13,tune,transformer,Misrankings score,0.6996598639455782,random_no_constants,3,50,30,90,10,30,40,2,80,1
14,tune,transformer,Loss,0.8885121838411174,random_no_constants,3,50,30,90,10,30,40,2,80,1
15,tune,dummy,MSE,0.152799591422081,random_no_constants,3,50,30,90,10,30,40,2,80,1
16,tune,dummy,Misrankings score,0.5421768707482993,random_no_constants,3,50,30,90,10,30,40,2,80,1
17,tune,dummy,Loss,0.7730750038457075,random_no_constants,3,50,30,90,10,30,40,2,80,1
18,test,transformer,MSE,0.08655330538749695,random_no_constants,3,50,30,90,10,30,40,2,80,1
19,test,transformer,Misrankings score,0.6996598639455782,random_no_constants,3,50,30,90,10,30,40,2,80,1
20,test,transformer,Loss,0.8885121838411174,random_no_constants,3,50,30,90,10,30,40,2,80,1
21,test,dummy,MSE,0.152799591422081,random_no_constants,3,50,30,90,10,30,40,2,80,1
22,test,dummy,Misrankings score,0.5421768707482993,random_no_constants,3,50,30,90,10,30,40,2,80,1
23,test,dummy,Loss,0.7730750038457075,random_no_constants,3,50,30,90,10,30,40,2,80,1
24,test,ELA,Loss,0.9161726046056,random_no_constants,3,50,30,90,10,30,40,2,80,1
0,train,transformer,MSE,0.13450172543525696,random_no_constants,4,50,30,80,10,10,60,2,80,2
1,train,transformer,Misrankings score,0.6298485677796023,random_no_constants,4,50,30,80,10,10,60,2,80,2
2,train,transformer,Loss,0.7872614724912659,random_no_constants,4,50,30,80,10,10,60,2,80,2
3,train,dummy,MSE,0.15646716952323914,random_no_constants,4,50,30,80,10,10,60,2,80,2
4,train,dummy,Misrankings score,0.5488414522897281,random_no_constants,4,50,30,80,10,10,60,2,80,2
5,train,dummy,Loss,0.7848825215381925,random_no_constants,4,50,30,80,10,10,60,2,80,2
6,val,transformer,MSE,0.12780264019966125,random_no_constants,4,50,30,80,10,10,60,2,80,2
7,val,transformer,Misrankings score,0.6472789115646258,random_no_constants,4,50,30,80,10,10,60,2,80,2
8,val,transformer,Loss,0.8423624075734462,random_no_constants,4,50,30,80,10,10,60,2,80,2
9,val,dummy,MSE,0.1438169926404953,random_no_constants,4,50,30,80,10,10,60,2,80,2
10,val,dummy,Misrankings score,0.5670068027210884,random_no_constants,4,50,30,80,10,10,60,2,80,2
11,val,dummy,Loss,0.785900612164463,random_no_constants,4,50,30,80,10,10,60,2,80,2
12,tune,transformer,MSE,0.12685003876686096,random_no_constants,4,50,30,80,10,10,60,2,80,2
13,tune,transformer,Misrankings score,0.6534013605442177,random_no_constants,4,50,30,80,10,10,60,2,80,2
14,tune,transformer,Loss,0.8135194205242811,random_no_constants,4,50,30,80,10,10,60,2,80,2
15,tune,dummy,MSE,0.15419627726078033,random_no_constants,4,50,30,80,10,10,60,2,80,2
16,tune,dummy,Misrankings score,0.5404761904761904,random_no_constants,4,50,30,80,10,10,60,2,80,2
17,tune,dummy,Loss,0.7871950071091539,random_no_constants,4,50,30,80,10,10,60,2,80,2
18,test,transformer,MSE,0.12685003876686096,random_no_constants,4,50,30,80,10,10,60,2,80,2
19,test,transformer,Misrankings score,0.6534013605442177,random_no_constants,4,50,30,80,10,10,60,2,80,2
20,test,transformer,Loss,0.8135194205242811,random_no_constants,4,50,30,80,10,10,60,2,80,2
21,test,dummy,MSE,0.15419627726078033,random_no_constants,4,50,30,80,10,10,60,2,80,2
22,test,dummy,Misrankings score,0.5404761904761904,random_no_constants,4,50,30,80,10,10,60,2,80,2
23,test,dummy,Loss,0.7871950071091539,random_no_constants,4,50,30,80,10,10,60,2,80,2
24,test,ELA,Loss,0.9026131493421318,random_no_constants,4,50,30,80,10,10,60,2,80,2
0,train,transformer,MSE,0.09944232553243637,random_no_constants,5,50,30,80,20,20,100,2,80,2
1,train,transformer,Misrankings score,0.7071702244116037,random_no_constants,5,50,30,80,20,20,100,2,80,2
2,train,transformer,Loss,0.8765076404457106,random_no_constants,5,50,30,80,20,20,100,2,80,2
