,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.11589786410331726,random_no_constants,0,50,50,40,40,20,80,3,60,3
1,train,transformer,Misrankings score,0.6807851611741401,random_no_constants,0,50,50,40,40,20,80,3,60,3
2,train,transformer,Loss,0.7932781731266523,random_no_constants,0,50,50,40,40,20,80,3,60,3
3,train,dummy,MSE,0.16508498787879944,random_no_constants,0,50,50,40,40,20,80,3,60,3
4,train,dummy,Misrankings score,0.5405006302899333,random_no_constants,0,50,50,40,40,20,80,3,60,3
5,train,dummy,Loss,0.7294452499842246,random_no_constants,0,50,50,40,40,20,80,3,60,3
6,val,transformer,MSE,0.09944373369216919,random_no_constants,0,50,50,40,40,20,80,3,60,3
7,val,transformer,Misrankings score,0.7282828282828283,random_no_constants,0,50,50,40,40,20,80,3,60,3
8,val,transformer,Loss,0.8190497528819275,random_no_constants,0,50,50,40,40,20,80,3,60,3
9,val,dummy,MSE,0.1600046008825302,random_no_constants,0,50,50,40,40,20,80,3,60,3
10,val,dummy,Misrankings score,0.5437710437710438,random_no_constants,0,50,50,40,40,20,80,3,60,3
11,val,dummy,Loss,0.698846388319687,random_no_constants,0,50,50,40,40,20,80,3,60,3
12,tune,transformer,MSE,0.11792575567960739,random_no_constants,0,50,50,40,40,20,80,3,60,3
13,tune,transformer,Misrankings score,0.6877721943048576,random_no_constants,0,50,50,40,40,20,80,3,60,3
14,tune,transformer,Loss,0.8004255398119189,random_no_constants,0,50,50,40,40,20,80,3,60,3
15,tune,dummy,MSE,0.17281806468963623,random_no_constants,0,50,50,40,40,20,80,3,60,3
16,tune,dummy,Misrankings score,0.5289782244556114,random_no_constants,0,50,50,40,40,20,80,3,60,3
17,tune,dummy,Loss,0.6819659472997064,random_no_constants,0,50,50,40,40,20,80,3,60,3
18,test,transformer,MSE,0.11792575567960739,random_no_constants,0,50,50,40,40,20,80,3,60,3
19,test,transformer,Misrankings score,0.6877721943048576,random_no_constants,0,50,50,40,40,20,80,3,60,3
20,test,transformer,Loss,0.8004255398119189,random_no_constants,0,50,50,40,40,20,80,3,60,3
21,test,dummy,MSE,0.17281806468963623,random_no_constants,0,50,50,40,40,20,80,3,60,3
22,test,dummy,Misrankings score,0.5289782244556114,random_no_constants,0,50,50,40,40,20,80,3,60,3
23,test,dummy,Loss,0.6819659472997064,random_no_constants,0,50,50,40,40,20,80,3,60,3
24,test,ELA,Loss,0.8638006465561816,random_no_constants,0,50,50,40,40,20,80,3,60,3
0,train,transformer,MSE,0.15463711321353912,random_no_constants,1,50,50,50,10,20,100,2,80,1
1,train,transformer,Misrankings score,0.5708986133621465,random_no_constants,1,50,50,50,10,20,100,2,80,1
2,train,transformer,Loss,0.7303438290962911,random_no_constants,1,50,50,50,10,20,100,2,80,1
3,train,dummy,MSE,0.16461700201034546,random_no_constants,1,50,50,50,10,20,100,2,80,1
4,train,dummy,Misrankings score,0.5367549072573383,random_no_constants,1,50,50,50,10,20,100,2,80,1
5,train,dummy,Loss,0.725331605004115,random_no_constants,1,50,50,50,10,20,100,2,80,1
6,val,transformer,MSE,0.15386980772018433,random_no_constants,1,50,50,50,10,20,100,2,80,1
7,val,transformer,Misrankings score,0.598989898989899,random_no_constants,1,50,50,50,10,20,100,2,80,1
8,val,transformer,Loss,0.7375502853400088,random_no_constants,1,50,50,50,10,20,100,2,80,1
9,val,dummy,MSE,0.1632639616727829,random_no_constants,1,50,50,50,10,20,100,2,80,1
10,val,dummy,Misrankings score,0.5515151515151515,random_no_constants,1,50,50,50,10,20,100,2,80,1
11,val,dummy,Loss,0.7237429907306929,random_no_constants,1,50,50,50,10,20,100,2,80,1
12,tune,transformer,MSE,0.15592029690742493,random_no_constants,1,50,50,50,10,20,100,2,80,1
13,tune,transformer,Misrankings score,0.5742043551088777,random_no_constants,1,50,50,50,10,20,100,2,80,1
14,tune,transformer,Loss,0.7739069795766107,random_no_constants,1,50,50,50,10,20,100,2,80,1
15,tune,dummy,MSE,0.1590985506772995,random_no_constants,1,50,50,50,10,20,100,2,80,1
16,tune,dummy,Misrankings score,0.5484087102177554,random_no_constants,1,50,50,50,10,20,100,2,80,1
17,tune,dummy,Loss,0.7786986607012948,random_no_constants,1,50,50,50,10,20,100,2,80,1
18,test,transformer,MSE,0.15592029690742493,random_no_constants,1,50,50,50,10,20,100,2,80,1
19,test,transformer,Misrankings score,0.5742043551088777,random_no_constants,1,50,50,50,10,20,100,2,80,1
20,test,transformer,Loss,0.7739069795766107,random_no_constants,1,50,50,50,10,20,100,2,80,1
21,test,dummy,MSE,0.1590985506772995,random_no_constants,1,50,50,50,10,20,100,2,80,1
22,test,dummy,Misrankings score,0.5484087102177554,random_no_constants,1,50,50,50,10,20,100,2,80,1
23,test,dummy,Loss,0.7786986607012948,random_no_constants,1,50,50,50,10,20,100,2,80,1
24,test,ELA,Loss,0.8843497511377179,random_no_constants,1,50,50,50,10,20,100,2,80,1
0,train,transformer,MSE,0.17282359302043915,random_no_constants,2,50,50,40,20,40,80,3,20,2
1,train,transformer,Misrankings score,0.5332973167657122,random_no_constants,2,50,50,40,20,40,80,3,20,2
2,train,transformer,Loss,0.7292720306851611,random_no_constants,2,50,50,40,20,40,80,3,20,2
3,train,dummy,MSE,0.16417469084262848,random_no_constants,2,50,50,40,20,40,80,3,20,2
4,train,dummy,Misrankings score,0.5377633711507294,random_no_constants,2,50,50,40,20,40,80,3,20,2
5,train,dummy,Loss,0.7300923042771169,random_no_constants,2,50,50,40,20,40,80,3,20,2
6,val,transformer,MSE,0.17345045506954193,random_no_constants,2,50,50,40,20,40,80,3,20,2
7,val,transformer,Misrankings score,0.5124579124579125,random_no_constants,2,50,50,40,20,40,80,3,20,2
8,val,transformer,Loss,0.7273223073754139,random_no_constants,2,50,50,40,20,40,80,3,20,2
9,val,dummy,MSE,0.16605889797210693,random_no_constants,2,50,50,40,20,40,80,3,20,2
10,val,dummy,Misrankings score,0.54006734006734,random_no_constants,2,50,50,40,20,40,80,3,20,2
11,val,dummy,Loss,0.7160729165619097,random_no_constants,2,50,50,40,20,40,80,3,20,2
12,tune,transformer,MSE,0.17392586171627045,random_no_constants,2,50,50,40,20,40,80,3,20,2
13,tune,transformer,Misrankings score,0.5306532663316583,random_no_constants,2,50,50,40,20,40,80,3,20,2
14,tune,transformer,Loss,0.7153118343815276,random_no_constants,2,50,50,40,20,40,80,3,20,2
15,tune,dummy,MSE,0.16432572901248932,random_no_constants,2,50,50,40,20,40,80,3,20,2
16,tune,dummy,Misrankings score,0.5396984924623116,random_no_constants,2,50,50,40,20,40,80,3,20,2
