,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.16979379951953888,random_no_constants,0,50,50,70,30,40,20,3,60,2
1,train,transformer,Misrankings score,0.5980899908172636,random_no_constants,0,50,50,70,30,40,20,3,60,2
2,train,transformer,Loss,0.8049940854663571,random_no_constants,0,50,50,70,30,40,20,3,60,2
3,train,dummy,MSE,0.1558714210987091,random_no_constants,0,50,50,70,30,40,20,3,60,2
4,train,dummy,Misrankings score,0.6110192837465565,random_no_constants,0,50,50,70,30,40,20,3,60,2
5,train,dummy,Loss,0.8105040972991308,random_no_constants,0,50,50,70,30,40,20,3,60,2
6,val,transformer,MSE,0.17721021175384521,random_no_constants,0,50,50,70,30,40,20,3,60,2
7,val,transformer,Misrankings score,0.5920962199312715,random_no_constants,0,50,50,70,30,40,20,3,60,2
8,val,transformer,Loss,0.7914218233845335,random_no_constants,0,50,50,70,30,40,20,3,60,2
9,val,dummy,MSE,0.16766305267810822,random_no_constants,0,50,50,70,30,40,20,3,60,2
10,val,dummy,Misrankings score,0.6020618556701031,random_no_constants,0,50,50,70,30,40,20,3,60,2
11,val,dummy,Loss,0.7893162190008282,random_no_constants,0,50,50,70,30,40,20,3,60,2
12,tune,transformer,MSE,0.17183612287044525,random_no_constants,0,50,50,70,30,40,20,3,60,2
13,tune,transformer,Misrankings score,0.5873504273504273,random_no_constants,0,50,50,70,30,40,20,3,60,2
14,tune,transformer,Loss,0.7859247314677231,random_no_constants,0,50,50,70,30,40,20,3,60,2
15,tune,dummy,MSE,0.16061259806156158,random_no_constants,0,50,50,70,30,40,20,3,60,2
16,tune,dummy,Misrankings score,0.5938461538461538,random_no_constants,0,50,50,70,30,40,20,3,60,2
17,tune,dummy,Loss,0.7898014234231487,random_no_constants,0,50,50,70,30,40,20,3,60,2
18,test,transformer,MSE,0.17183612287044525,random_no_constants,0,50,50,70,30,40,20,3,60,2
19,test,transformer,Misrankings score,0.5873504273504273,random_no_constants,0,50,50,70,30,40,20,3,60,2
20,test,transformer,Loss,0.7859247314677231,random_no_constants,0,50,50,70,30,40,20,3,60,2
21,test,dummy,MSE,0.16061259806156158,random_no_constants,0,50,50,70,30,40,20,3,60,2
