,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.07090651988983154,random_no_constants,0,50,10,100,40,10,60,2,80,3
1,train,transformer,Misrankings score,0.7202543142597638,random_no_constants,0,50,10,100,40,10,60,2,80,3
2,train,transformer,Loss,0.8886206023454057,random_no_constants,0,50,10,100,40,10,60,2,80,3
3,train,dummy,MSE,0.14416155219078064,random_no_constants,0,50,10,100,40,10,60,2,80,3
4,train,dummy,Misrankings score,0.4935876475930972,random_no_constants,0,50,10,100,40,10,60,2,80,3
5,train,dummy,Loss,0.7408819187597282,random_no_constants,0,50,10,100,40,10,60,2,80,3
6,val,transformer,MSE,0.0595909059047699,random_no_constants,0,50,10,100,40,10,60,2,80,3
7,val,transformer,Misrankings score,0.7319796954314721,random_no_constants,0,50,10,100,40,10,60,2,80,3
8,val,transformer,Loss,0.8776805512173058,random_no_constants,0,50,10,100,40,10,60,2,80,3
9,val,dummy,MSE,0.1421145349740982,random_no_constants,0,50,10,100,40,10,60,2,80,3
10,val,dummy,Misrankings score,0.5096446700507614,random_no_constants,0,50,10,100,40,10,60,2,80,3
11,val,dummy,Loss,0.7381503350812956,random_no_constants,0,50,10,100,40,10,60,2,80,3
12,tune,transformer,MSE,0.07220307737588882,random_no_constants,0,50,10,100,40,10,60,2,80,3
13,tune,transformer,Misrankings score,0.6906937394247039,random_no_constants,0,50,10,100,40,10,60,2,80,3
14,tune,transformer,Loss,0.8759102198633306,random_no_constants,0,50,10,100,40,10,60,2,80,3
15,tune,dummy,MSE,0.13681887090206146,random_no_constants,0,50,10,100,40,10,60,2,80,3
16,tune,dummy,Misrankings score,0.5137055837563452,random_no_constants,0,50,10,100,40,10,60,2,80,3
17,tune,dummy,Loss,0.7723774752757988,random_no_constants,0,50,10,100,40,10,60,2,80,3
18,test,transformer,MSE,0.07220307737588882,random_no_constants,0,50,10,100,40,10,60,2,80,3
19,test,transformer,Misrankings score,0.6906937394247039,random_no_constants,0,50,10,100,40,10,60,2,80,3
20,test,transformer,Loss,0.8759102198633306,random_no_constants,0,50,10,100,40,10,60,2,80,3
21,test,dummy,MSE,0.13681887090206146,random_no_constants,0,50,10,100,40,10,60,2,80,3
22,test,dummy,Misrankings score,0.5137055837563452,random_no_constants,0,50,10,100,40,10,60,2,80,3
23,test,dummy,Loss,0.7723774752757988,random_no_constants,0,50,10,100,40,10,60,2,80,3
24,test,ELA,Loss,0.8802067449149066,random_no_constants,0,50,10,100,40,10,60,2,80,3
0,train,transformer,MSE,0.08925112336874008,random_no_constants,1,50,10,70,40,30,60,3,100,1
1,train,transformer,Misrankings score,0.6558038147138965,random_no_constants,1,50,10,70,40,30,60,3,100,1
2,train,transformer,Loss,0.8428845535428278,random_no_constants,1,50,10,70,40,30,60,3,100,1
3,train,dummy,MSE,0.1428341418504715,random_no_constants,1,50,10,70,40,30,60,3,100,1
4,train,dummy,Misrankings score,0.4977656675749319,random_no_constants,1,50,10,70,40,30,60,3,100,1
5,train,dummy,Loss,0.7456345948004136,random_no_constants,1,50,10,70,40,30,60,3,100,1
6,val,transformer,MSE,0.09926117211580276,random_no_constants,1,50,10,70,40,30,60,3,100,1
7,val,transformer,Misrankings score,0.6480541455160744,random_no_constants,1,50,10,70,40,30,60,3,100,1
8,val,transformer,Loss,0.8452546327229894,random_no_constants,1,50,10,70,40,30,60,3,100,1
9,val,dummy,MSE,0.1460946947336197,random_no_constants,1,50,10,70,40,30,60,3,100,1
10,val,dummy,Misrankings score,0.5045685279187817,random_no_constants,1,50,10,70,40,30,60,3,100,1
11,val,dummy,Loss,0.752270480075432,random_no_constants,1,50,10,70,40,30,60,3,100,1
12,tune,transformer,MSE,0.09107732027769089,random_no_constants,1,50,10,70,40,30,60,3,100,1
13,tune,transformer,Misrankings score,0.6727580372250423,random_no_constants,1,50,10,70,40,30,60,3,100,1
14,tune,transformer,Loss,0.8588471254936105,random_no_constants,1,50,10,70,40,30,60,3,100,1
15,tune,dummy,MSE,0.14460349082946777,random_no_constants,1,50,10,70,40,30,60,3,100,1
16,tune,dummy,Misrankings score,0.49170896785109985,random_no_constants,1,50,10,70,40,30,60,3,100,1
17,tune,dummy,Loss,0.7371630396944026,random_no_constants,1,50,10,70,40,30,60,3,100,1
18,test,transformer,MSE,0.09107732027769089,random_no_constants,1,50,10,70,40,30,60,3,100,1
19,test,transformer,Misrankings score,0.6727580372250423,random_no_constants,1,50,10,70,40,30,60,3,100,1
20,test,transformer,Loss,0.8588471254936105,random_no_constants,1,50,10,70,40,30,60,3,100,1
21,test,dummy,MSE,0.14460349082946777,random_no_constants,1,50,10,70,40,30,60,3,100,1
22,test,dummy,Misrankings score,0.49170896785109985,random_no_constants,1,50,10,70,40,30,60,3,100,1
23,test,dummy,Loss,0.7371630396944026,random_no_constants,1,50,10,70,40,30,60,3,100,1
24,test,ELA,Loss,0.8669476718110042,random_no_constants,1,50,10,70,40,30,60,3,100,1
0,train,transformer,MSE,0.064888596534729,random_no_constants,2,50,10,70,50,10,80,2,100,3
1,train,transformer,Misrankings score,0.7328973660308811,random_no_constants,2,50,10,70,50,10,80,2,100,3
2,train,transformer,Loss,0.8862757751274095,random_no_constants,2,50,10,70,50,10,80,2,100,3
3,train,dummy,MSE,0.1425614356994629,random_no_constants,2,50,10,70,50,10,80,2,100,3
4,train,dummy,Misrankings score,0.49685740236148956,random_no_constants,2,50,10,70,50,10,80,2,100,3
5,train,dummy,Loss,0.742980681032545,random_no_constants,2,50,10,70,50,10,80,2,100,3
6,val,transformer,MSE,0.06632561981678009,random_no_constants,2,50,10,70,50,10,80,2,100,3
7,val,transformer,Misrankings score,0.7262267343485618,random_no_constants,2,50,10,70,50,10,80,2,100,3
8,val,transformer,Loss,0.8651818510069527,random_no_constants,2,50,10,70,50,10,80,2,100,3
9,val,dummy,MSE,0.14227299392223358,random_no_constants,2,50,10,70,50,10,80,2,100,3
10,val,dummy,Misrankings score,0.5079526226734349,random_no_constants,2,50,10,70,50,10,80,2,100,3
11,val,dummy,Loss,0.7200943865275711,random_no_constants,2,50,10,70,50,10,80,2,100,3
12,tune,transformer,MSE,0.06073318421840668,random_no_constants,2,50,10,70,50,10,80,2,100,3
13,tune,transformer,Misrankings score,0.7289340101522843,random_no_constants,2,50,10,70,50,10,80,2,100,3
14,tune,transformer,Loss,0.8926090146874288,random_no_constants,2,50,10,70,50,10,80,2,100,3
15,tune,dummy,MSE,0.14420275390148163,random_no_constants,2,50,10,70,50,10,80,2,100,3
16,tune,dummy,Misrankings score,0.4903553299492386,random_no_constants,2,50,10,70,50,10,80,2,100,3
17,tune,dummy,Loss,0.7532868558632972,random_no_constants,2,50,10,70,50,10,80,2,100,3
18,test,transformer,MSE,0.06073318421840668,random_no_constants,2,50,10,70,50,10,80,2,100,3
19,test,transformer,Misrankings score,0.7289340101522843,random_no_constants,2,50,10,70,50,10,80,2,100,3
20,test,transformer,Loss,0.8926090146874288,random_no_constants,2,50,10,70,50,10,80,2,100,3
21,test,dummy,MSE,0.14420275390148163,random_no_constants,2,50,10,70,50,10,80,2,100,3
22,test,dummy,Misrankings score,0.4903553299492386,random_no_constants,2,50,10,70,50,10,80,2,100,3
23,test,dummy,Loss,0.7532868558632972,random_no_constants,2,50,10,70,50,10,80,2,100,3
24,test,ELA,Loss,0.8956623701171187,random_no_constants,2,50,10,70,50,10,80,2,100,3
0,train,transformer,MSE,0.07669787108898163,random_no_constants,3,50,10,70,20,10,40,2,80,3
1,train,transformer,Misrankings score,0.706267029972752,random_no_constants,3,50,10,70,20,10,40,2,80,3
2,train,transformer,Loss,0.8753476349678737,random_no_constants,3,50,10,70,20,10,40,2,80,3
3,train,dummy,MSE,0.14343322813510895,random_no_constants,3,50,10,70,20,10,40,2,80,3
4,train,dummy,Misrankings score,0.5020890099909173,random_no_constants,3,50,10,70,20,10,40,2,80,3
5,train,dummy,Loss,0.7404612756191411,random_no_constants,3,50,10,70,20,10,40,2,80,3
6,val,transformer,MSE,0.08385492116212845,random_no_constants,3,50,10,70,20,10,40,2,80,3
7,val,transformer,Misrankings score,0.7035532994923858,random_no_constants,3,50,10,70,20,10,40,2,80,3
8,val,transformer,Loss,0.8839644999735202,random_no_constants,3,50,10,70,20,10,40,2,80,3
9,val,dummy,MSE,0.14394424855709076,random_no_constants,3,50,10,70,20,10,40,2,80,3
10,val,dummy,Misrankings score,0.4957698815566836,random_no_constants,3,50,10,70,20,10,40,2,80,3
11,val,dummy,Loss,0.7173180474657465,random_no_constants,3,50,10,70,20,10,40,2,80,3
12,tune,transformer,MSE,0.0732375904917717,random_no_constants,3,50,10,70,20,10,40,2,80,3
13,tune,transformer,Misrankings score,0.7153976311336717,random_no_constants,3,50,10,70,20,10,40,2,80,3
14,tune,transformer,Loss,0.8645951974471577,random_no_constants,3,50,10,70,20,10,40,2,80,3
15,tune,dummy,MSE,0.13664297759532928,random_no_constants,3,50,10,70,20,10,40,2,80,3
16,tune,dummy,Misrankings score,0.5201353637901861,random_no_constants,3,50,10,70,20,10,40,2,80,3
17,tune,dummy,Loss,0.7532570388437568,random_no_constants,3,50,10,70,20,10,40,2,80,3
18,test,transformer,MSE,0.0732375904917717,random_no_constants,3,50,10,70,20,10,40,2,80,3
19,test,transformer,Misrankings score,0.7153976311336717,random_no_constants,3,50,10,70,20,10,40,2,80,3
20,test,transformer,Loss,0.8645951974471577,random_no_constants,3,50,10,70,20,10,40,2,80,3
21,test,dummy,MSE,0.13664297759532928,random_no_constants,3,50,10,70,20,10,40,2,80,3
22,test,dummy,Misrankings score,0.5201353637901861,random_no_constants,3,50,10,70,20,10,40,2,80,3
23,test,dummy,Loss,0.7532570388437568,random_no_constants,3,50,10,70,20,10,40,2,80,3
24,test,ELA,Loss,0.8819801437731981,random_no_constants,3,50,10,70,20,10,40,2,80,3
0,train,transformer,MSE,0.08331716060638428,random_no_constants,4,50,10,80,10,10,60,2,40,2
1,train,transformer,Misrankings score,0.7090281562216167,random_no_constants,4,50,10,80,10,10,60,2,40,2
2,train,transformer,Loss,0.8701019466359485,random_no_constants,4,50,10,80,10,10,60,2,40,2
3,train,dummy,MSE,0.1439802497625351,random_no_constants,4,50,10,80,10,10,60,2,40,2
4,train,dummy,Misrankings score,0.49318801089918257,random_no_constants,4,50,10,80,10,10,60,2,40,2
5,train,dummy,Loss,0.7311479248957387,random_no_constants,4,50,10,80,10,10,60,2,40,2
6,val,transformer,MSE,0.0812685489654541,random_no_constants,4,50,10,80,10,10,60,2,40,2
7,val,transformer,Misrankings score,0.6913705583756345,random_no_constants,4,50,10,80,10,10,60,2,40,2
8,val,transformer,Loss,0.85411547404397,random_no_constants,4,50,10,80,10,10,60,2,40,2
9,val,dummy,MSE,0.14412617683410645,random_no_constants,4,50,10,80,10,10,60,2,40,2
10,val,dummy,Misrankings score,0.5181049069373942,random_no_constants,4,50,10,80,10,10,60,2,40,2
11,val,dummy,Loss,0.7582076123093756,random_no_constants,4,50,10,80,10,10,60,2,40,2
12,tune,transformer,MSE,0.0835971012711525,random_no_constants,4,50,10,80,10,10,60,2,40,2
13,tune,transformer,Misrankings score,0.6890016920473774,random_no_constants,4,50,10,80,10,10,60,2,40,2
14,tune,transformer,Loss,0.8698940427884505,random_no_constants,4,50,10,80,10,10,60,2,40,2
15,tune,dummy,MSE,0.14328686892986298,random_no_constants,4,50,10,80,10,10,60,2,40,2
16,tune,dummy,Misrankings score,0.5137055837563452,random_no_constants,4,50,10,80,10,10,60,2,40,2
17,tune,dummy,Loss,0.7830610375787156,random_no_constants,4,50,10,80,10,10,60,2,40,2
18,test,transformer,MSE,0.0835971012711525,random_no_constants,4,50,10,80,10,10,60,2,40,2
19,test,transformer,Misrankings score,0.6890016920473774,random_no_constants,4,50,10,80,10,10,60,2,40,2
20,test,transformer,Loss,0.8698940427884505,random_no_constants,4,50,10,80,10,10,60,2,40,2
21,test,dummy,MSE,0.14328686892986298,random_no_constants,4,50,10,80,10,10,60,2,40,2
22,test,dummy,Misrankings score,0.5137055837563452,random_no_constants,4,50,10,80,10,10,60,2,40,2
