,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.0841735377907753,random_no_constants,0,50,10,100,30,20,40,2,40,2
1,train,transformer,Misrankings score,0.7868152274837512,random_no_constants,0,50,10,100,30,20,40,2,40,2
2,train,transformer,Loss,0.9233044617284487,random_no_constants,0,50,10,100,30,20,40,2,40,2
3,train,dummy,MSE,0.12467535585165024,random_no_constants,0,50,10,100,30,20,40,2,40,2
4,train,dummy,Misrankings score,0.724233983286908,random_no_constants,0,50,10,100,30,20,40,2,40,2
5,train,dummy,Loss,0.9092852246995266,random_no_constants,0,50,10,100,30,20,40,2,40,2
6,val,transformer,MSE,0.08693958818912506,random_no_constants,0,50,10,100,30,20,40,2,40,2
7,val,transformer,Misrankings score,0.7560763888888888,random_no_constants,0,50,10,100,30,20,40,2,40,2
8,val,transformer,Loss,0.921084514751584,random_no_constants,0,50,10,100,30,20,40,2,40,2
9,val,dummy,MSE,0.12614960968494415,random_no_constants,0,50,10,100,30,20,40,2,40,2
10,val,dummy,Misrankings score,0.6987847222222222,random_no_constants,0,50,10,100,30,20,40,2,40,2
11,val,dummy,Loss,0.9127680272652489,random_no_constants,0,50,10,100,30,20,40,2,40,2
12,tune,transformer,MSE,0.08888661861419678,random_no_constants,0,50,10,100,30,20,40,2,40,2
13,tune,transformer,Misrankings score,0.7677029360967185,random_no_constants,0,50,10,100,30,20,40,2,40,2
14,tune,transformer,Loss,0.9210712945016168,random_no_constants,0,50,10,100,30,20,40,2,40,2
15,tune,dummy,MSE,0.12276247888803482,random_no_constants,0,50,10,100,30,20,40,2,40,2
16,tune,dummy,Misrankings score,0.7262521588946459,random_no_constants,0,50,10,100,30,20,40,2,40,2
17,tune,dummy,Loss,0.904082739603806,random_no_constants,0,50,10,100,30,20,40,2,40,2
18,test,transformer,MSE,0.08888661861419678,random_no_constants,0,50,10,100,30,20,40,2,40,2
19,test,transformer,Misrankings score,0.7677029360967185,random_no_constants,0,50,10,100,30,20,40,2,40,2
20,test,transformer,Loss,0.9210712945016168,random_no_constants,0,50,10,100,30,20,40,2,40,2
21,test,dummy,MSE,0.12276247888803482,random_no_constants,0,50,10,100,30,20,40,2,40,2
22,test,dummy,Misrankings score,0.7262521588946459,random_no_constants,0,50,10,100,30,20,40,2,40,2
23,test,dummy,Loss,0.904082739603806,random_no_constants,0,50,10,100,30,20,40,2,40,2
24,test,ELA,Loss,0.9192605507878834,random_no_constants,0,50,10,100,30,20,40,2,40,2
0,train,transformer,MSE,0.08751591295003891,random_no_constants,1,50,10,60,20,30,60,2,80,2
1,train,transformer,Misrankings score,0.7775301764159703,random_no_constants,1,50,10,60,20,30,60,2,80,2
2,train,transformer,Loss,0.9239336797699108,random_no_constants,1,50,10,60,20,30,60,2,80,2
3,train,dummy,MSE,0.12361873686313629,random_no_constants,1,50,10,60,20,30,60,2,80,2
4,train,dummy,Misrankings score,0.7244196843082636,random_no_constants,1,50,10,60,20,30,60,2,80,2
5,train,dummy,Loss,0.9092644750933044,random_no_constants,1,50,10,60,20,30,60,2,80,2
6,val,transformer,MSE,0.08592160046100616,random_no_constants,1,50,10,60,20,30,60,2,80,2
7,val,transformer,Misrankings score,0.7708333333333334,random_no_constants,1,50,10,60,20,30,60,2,80,2
8,val,transformer,Loss,0.920027987291051,random_no_constants,1,50,10,60,20,30,60,2,80,2
9,val,dummy,MSE,0.12174539268016815,random_no_constants,1,50,10,60,20,30,60,2,80,2
10,val,dummy,Misrankings score,0.7170138888888888,random_no_constants,1,50,10,60,20,30,60,2,80,2
11,val,dummy,Loss,0.90782530952366,random_no_constants,1,50,10,60,20,30,60,2,80,2
12,tune,transformer,MSE,0.09526171535253525,random_no_constants,1,50,10,60,20,30,60,2,80,2
13,tune,transformer,Misrankings score,0.7564766839378239,random_no_constants,1,50,10,60,20,30,60,2,80,2
14,tune,transformer,Loss,0.9335041151003044,random_no_constants,1,50,10,60,20,30,60,2,80,2
15,tune,dummy,MSE,0.12743306159973145,random_no_constants,1,50,10,60,20,30,60,2,80,2
16,tune,dummy,Misrankings score,0.7167530224525043,random_no_constants,1,50,10,60,20,30,60,2,80,2
17,tune,dummy,Loss,0.9301140475078993,random_no_constants,1,50,10,60,20,30,60,2,80,2
18,test,transformer,MSE,0.09526171535253525,random_no_constants,1,50,10,60,20,30,60,2,80,2
19,test,transformer,Misrankings score,0.7564766839378239,random_no_constants,1,50,10,60,20,30,60,2,80,2
20,test,transformer,Loss,0.9335041151003044,random_no_constants,1,50,10,60,20,30,60,2,80,2
21,test,dummy,MSE,0.12743306159973145,random_no_constants,1,50,10,60,20,30,60,2,80,2
22,test,dummy,Misrankings score,0.7167530224525043,random_no_constants,1,50,10,60,20,30,60,2,80,2
23,test,dummy,Loss,0.9301140475078993,random_no_constants,1,50,10,60,20,30,60,2,80,2
24,test,ELA,Loss,0.9461275069882588,random_no_constants,1,50,10,60,20,30,60,2,80,2
0,train,transformer,MSE,0.08104375749826431,random_no_constants,2,50,10,60,20,10,40,3,100,2
1,train,transformer,Misrankings score,0.7827298050139275,random_no_constants,2,50,10,60,20,10,40,3,100,2
2,train,transformer,Loss,0.9247958902392563,random_no_constants,2,50,10,60,20,10,40,3,100,2
3,train,dummy,MSE,0.12381168454885483,random_no_constants,2,50,10,60,20,10,40,3,100,2
4,train,dummy,Misrankings score,0.7256267409470752,random_no_constants,2,50,10,60,20,10,40,3,100,2
5,train,dummy,Loss,0.9135643963341874,random_no_constants,2,50,10,60,20,10,40,3,100,2
6,val,transformer,MSE,0.08288051187992096,random_no_constants,2,50,10,60,20,10,40,3,100,2
7,val,transformer,Misrankings score,0.7743055555555556,random_no_constants,2,50,10,60,20,10,40,3,100,2
8,val,transformer,Loss,0.8997151003122758,random_no_constants,2,50,10,60,20,10,40,3,100,2
9,val,dummy,MSE,0.12619651854038239,random_no_constants,2,50,10,60,20,10,40,3,100,2
10,val,dummy,Misrankings score,0.7222222222222222,random_no_constants,2,50,10,60,20,10,40,3,100,2
11,val,dummy,Loss,0.8875170646862381,random_no_constants,2,50,10,60,20,10,40,3,100,2
12,tune,transformer,MSE,0.08077079057693481,random_no_constants,2,50,10,60,20,10,40,3,100,2
13,tune,transformer,Misrankings score,0.7841105354058722,random_no_constants,2,50,10,60,20,10,40,3,100,2
14,tune,transformer,Loss,0.9186295567316249,random_no_constants,2,50,10,60,20,10,40,3,100,2
15,tune,dummy,MSE,0.1257668286561966,random_no_constants,2,50,10,60,20,10,40,3,100,2
16,tune,dummy,Misrankings score,0.7055267702936097,random_no_constants,2,50,10,60,20,10,40,3,100,2
17,tune,dummy,Loss,0.9081344091004999,random_no_constants,2,50,10,60,20,10,40,3,100,2
18,test,transformer,MSE,0.08077079057693481,random_no_constants,2,50,10,60,20,10,40,3,100,2
19,test,transformer,Misrankings score,0.7841105354058722,random_no_constants,2,50,10,60,20,10,40,3,100,2
20,test,transformer,Loss,0.9186295567316249,random_no_constants,2,50,10,60,20,10,40,3,100,2
21,test,dummy,MSE,0.1257668286561966,random_no_constants,2,50,10,60,20,10,40,3,100,2
22,test,dummy,Misrankings score,0.7055267702936097,random_no_constants,2,50,10,60,20,10,40,3,100,2
23,test,dummy,Loss,0.9081344091004999,random_no_constants,2,50,10,60,20,10,40,3,100,2
24,test,ELA,Loss,0.928490745248932,random_no_constants,2,50,10,60,20,10,40,3,100,2
0,train,transformer,MSE,0.10207915306091309,random_no_constants,3,50,10,100,20,20,40,3,20,2
1,train,transformer,Misrankings score,0.7525533890436398,random_no_constants,3,50,10,100,20,20,40,3,20,2
2,train,transformer,Loss,0.9230789340331224,random_no_constants,3,50,10,100,20,20,40,3,20,2
3,train,dummy,MSE,0.12427245080471039,random_no_constants,3,50,10,100,20,20,40,3,20,2
4,train,dummy,Misrankings score,0.7216341689879294,random_no_constants,3,50,10,100,20,20,40,3,20,2
5,train,dummy,Loss,0.9096639304818431,random_no_constants,3,50,10,100,20,20,40,3,20,2
6,val,transformer,MSE,0.10346341133117676,random_no_constants,3,50,10,100,20,20,40,3,20,2
7,val,transformer,Misrankings score,0.7717013888888888,random_no_constants,3,50,10,100,20,20,40,3,20,2
8,val,transformer,Loss,0.9211436829667244,random_no_constants,3,50,10,100,20,20,40,3,20,2
9,val,dummy,MSE,0.12166088819503784,random_no_constants,3,50,10,100,20,20,40,3,20,2
10,val,dummy,Misrankings score,0.7395833333333334,random_no_constants,3,50,10,100,20,20,40,3,20,2
11,val,dummy,Loss,0.9055763468854062,random_no_constants,3,50,10,100,20,20,40,3,20,2
12,tune,transformer,MSE,0.11027050763368607,random_no_constants,3,50,10,100,20,20,40,3,20,2
13,tune,transformer,Misrankings score,0.7590673575129534,random_no_constants,3,50,10,100,20,20,40,3,20,2
14,tune,transformer,Loss,0.9148748358183764,random_no_constants,3,50,10,100,20,20,40,3,20,2
15,tune,dummy,MSE,0.1369040310382843,random_no_constants,3,50,10,100,20,20,40,3,20,2
16,tune,dummy,Misrankings score,0.7063903281519862,random_no_constants,3,50,10,100,20,20,40,3,20,2
17,tune,dummy,Loss,0.9010111725036493,random_no_constants,3,50,10,100,20,20,40,3,20,2
18,test,transformer,MSE,0.11027050763368607,random_no_constants,3,50,10,100,20,20,40,3,20,2
19,test,transformer,Misrankings score,0.7590673575129534,random_no_constants,3,50,10,100,20,20,40,3,20,2
20,test,transformer,Loss,0.9148748358183764,random_no_constants,3,50,10,100,20,20,40,3,20,2
21,test,dummy,MSE,0.1369040310382843,random_no_constants,3,50,10,100,20,20,40,3,20,2
