,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget
0,train,transformer,MSE,0.060848768800497055,random_no_constants,0,50,10
1,train,transformer,Misrankings score,0.7197937844902701,random_no_constants,0,50,10
2,train,transformer,Loss,0.8884771174372533,random_no_constants,0,50,10
3,train,dummy,MSE,0.1135186031460762,random_no_constants,0,50,10
4,train,dummy,Misrankings score,0.5341272146383967,random_no_constants,0,50,10
5,train,dummy,Loss,0.7213955638946962,random_no_constants,0,50,10
6,val,transformer,MSE,0.05932348966598511,random_no_constants,0,50,10
7,val,transformer,Misrankings score,0.7098095381677472,random_no_constants,0,50,10
8,val,transformer,Loss,0.8728689182086815,random_no_constants,0,50,10
9,val,dummy,MSE,0.11199670284986496,random_no_constants,0,50,10
10,val,dummy,Misrankings score,0.5433690135182673,random_no_constants,0,50,10
11,val,dummy,Loss,0.7130448919141822,random_no_constants,0,50,10
12,test,transformer,MSE,0.061221133917570114,random_no_constants,0,50,10
13,test,transformer,Misrankings score,0.710921092109211,random_no_constants,0,50,10
14,test,transformer,Loss,0.892215709303962,random_no_constants,0,50,10
15,test,dummy,MSE,0.11107277125120163,random_no_constants,0,50,10
16,test,dummy,Misrankings score,0.5277527752775277,random_no_constants,0,50,10
17,test,dummy,Loss,0.7443702311298469,random_no_constants,0,50,10
18,test,ELA,Loss,0.9128207459438461,random_no_constants,0,50,10
0,train,transformer,MSE,0.06445374339818954,random_no_constants,1,50,10
1,train,transformer,Misrankings score,0.7084019104785878,random_no_constants,1,50,10
2,train,transformer,Loss,0.8842216305256351,random_no_constants,1,50,10
3,train,dummy,MSE,0.11382386088371277,random_no_constants,1,50,10
4,train,dummy,Misrankings score,0.537902991577113,random_no_constants,1,50,10
5,train,dummy,Loss,0.7257785119265034,random_no_constants,1,50,10
6,val,transformer,MSE,0.06536389142274857,random_no_constants,1,50,10
7,val,transformer,Misrankings score,0.7265943012211669,random_no_constants,1,50,10
8,val,transformer,Loss,0.8700507319975941,random_no_constants,1,50,10
9,val,dummy,MSE,0.11036509275436401,random_no_constants,1,50,10
10,val,dummy,Misrankings score,0.5593497160661339,random_no_constants,1,50,10
11,val,dummy,Loss,0.7113071775071458,random_no_constants,1,50,10
12,test,transformer,MSE,0.059527650475502014,random_no_constants,1,50,10
13,test,transformer,Misrankings score,0.7052205220522052,random_no_constants,1,50,10
14,test,transformer,Loss,0.8694513826442842,random_no_constants,1,50,10
15,test,dummy,MSE,0.11314042657613754,random_no_constants,1,50,10
16,test,dummy,Misrankings score,0.5329282928292829,random_no_constants,1,50,10
17,test,dummy,Loss,0.6995726301666971,random_no_constants,1,50,10
18,test,ELA,Loss,0.8921150464425147,random_no_constants,1,50,10
0,train,transformer,MSE,0.06162486597895622,random_no_constants,2,50,10
1,train,transformer,Misrankings score,0.7150579275179915,random_no_constants,2,50,10
2,train,transformer,Loss,0.8805991648608305,random_no_constants,2,50,10
3,train,dummy,MSE,0.11270615458488464,random_no_constants,2,50,10
4,train,dummy,Misrankings score,0.5413318488398361,random_no_constants,2,50,10
5,train,dummy,Loss,0.7247526339200586,random_no_constants,2,50,10
6,val,transformer,MSE,0.0663256123661995,random_no_constants,2,50,10
