,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget
0,train,transformer,MSE,0.07412098348140717,random_no_constants,0,50,30
1,train,transformer,Misrankings score,0.7325530465252093,random_no_constants,0,50,30
2,train,transformer,Loss,0.8895011305340914,random_no_constants,0,50,30
3,train,dummy,MSE,0.13522396981716156,random_no_constants,0,50,30
4,train,dummy,Misrankings score,0.5675167088443319,random_no_constants,0,50,30
5,train,dummy,Loss,0.7344364977144352,random_no_constants,0,50,30
6,val,transformer,MSE,0.08032932132482529,random_no_constants,0,50,30
7,val,transformer,Misrankings score,0.7338131313131313,random_no_constants,0,50,30
8,val,transformer,Loss,0.8853231986138985,random_no_constants,0,50,30
9,val,dummy,MSE,0.1405128836631775,random_no_constants,0,50,30
10,val,dummy,Misrankings score,0.5647979797979797,random_no_constants,0,50,30
11,val,dummy,Loss,0.7115559905702045,random_no_constants,0,50,30
12,test,transformer,MSE,0.07170858234167099,random_no_constants,0,50,30
13,test,transformer,Misrankings score,0.7225991255842003,random_no_constants,0,50,30
14,test,transformer,Loss,0.8890328512196845,random_no_constants,0,50,30
15,test,dummy,MSE,0.13244690001010895,random_no_constants,0,50,30
16,test,dummy,Misrankings score,0.565204281622192,random_no_constants,0,50,30
17,test,dummy,Loss,0.7134517257273396,random_no_constants,0,50,30
18,test,ELA,Loss,0.9129818539771235,random_no_constants,0,50,30
0,train,transformer,MSE,0.07445789128541946,random_no_constants,1,50,30
1,train,transformer,Misrankings score,0.7334290441892155,random_no_constants,1,50,30
2,train,transformer,Loss,0.8903652203061544,random_no_constants,1,50,30
3,train,dummy,MSE,0.13432501256465912,random_no_constants,1,50,30
4,train,dummy,Misrankings score,0.5683197067030044,random_no_constants,1,50,30
5,train,dummy,Loss,0.7341408029302544,random_no_constants,1,50,30
6,val,transformer,MSE,0.08149650692939758,random_no_constants,1,50,30
7,val,transformer,Misrankings score,0.7215151515151516,random_no_constants,1,50,30
8,val,transformer,Loss,0.8700111474319492,random_no_constants,1,50,30
9,val,dummy,MSE,0.14291727542877197,random_no_constants,1,50,30
10,val,dummy,Misrankings score,0.5641919191919192,random_no_constants,1,50,30
11,val,dummy,Loss,0.7032621745981457,random_no_constants,1,50,30
12,test,transformer,MSE,0.0676807165145874,random_no_constants,1,50,30
13,test,transformer,Misrankings score,0.7351876978742651,random_no_constants,1,50,30
14,test,transformer,Loss,0.910567768948689,random_no_constants,1,50,30
15,test,dummy,MSE,0.13360929489135742,random_no_constants,1,50,30
16,test,dummy,Misrankings score,0.5595507311925222,random_no_constants,1,50,30
17,test,dummy,Loss,0.7409574343844776,random_no_constants,1,50,30
18,test,ELA,Loss,0.9219110132938823,random_no_constants,1,50,30
0,train,transformer,MSE,0.07341863960027695,random_no_constants,2,50,30
1,train,transformer,Misrankings score,0.7259506196872364,random_no_constants,2,50,30
2,train,transformer,Loss,0.8942756619317228,random_no_constants,2,50,30
3,train,dummy,MSE,0.13537807762622833,random_no_constants,2,50,30
4,train,dummy,Misrankings score,0.568043929660632,random_no_constants,2,50,30
5,train,dummy,Loss,0.7297533578714352,random_no_constants,2,50,30
6,val,transformer,MSE,0.07430911809206009,random_no_constants,2,50,30
7,val,transformer,Misrankings score,0.7246464646464646,random_no_constants,2,50,30
8,val,transformer,Loss,0.8838092066120486,random_no_constants,2,50,30
9,val,dummy,MSE,0.13790786266326904,random_no_constants,2,50,30
10,val,dummy,Misrankings score,0.5617929292929293,random_no_constants,2,50,30
11,val,dummy,Loss,0.7105675521892988,random_no_constants,2,50,30
