,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget
0,train,transformer,MSE,0.0723394826054573,random_no_constants,0,50,10
1,train,transformer,Misrankings score,0.8159536541889483,random_no_constants,0,50,10
2,train,transformer,Loss,0.9382171881938759,random_no_constants,0,50,10
3,train,dummy,MSE,0.10248319804668427,random_no_constants,0,50,10
4,train,dummy,Misrankings score,0.7560606060606061,random_no_constants,0,50,10
5,train,dummy,Loss,0.9382171881938759,random_no_constants,0,50,10
6,val,transformer,MSE,0.07571761310100555,random_no_constants,0,50,10
7,val,transformer,Misrankings score,0.8105934553521907,random_no_constants,0,50,10
8,val,transformer,Loss,0.9327217513568614,random_no_constants,0,50,10
9,val,dummy,MSE,0.10438750684261322,random_no_constants,0,50,10
10,val,dummy,Misrankings score,0.7493067110371603,random_no_constants,0,50,10
11,val,dummy,Loss,0.9327217513568614,random_no_constants,0,50,10
12,test,transformer,MSE,0.07841737568378448,random_no_constants,0,50,10
13,test,transformer,Misrankings score,0.806799336650083,random_no_constants,0,50,10
14,test,transformer,Loss,0.9263523700175024,random_no_constants,0,50,10
15,test,dummy,MSE,0.10730783641338348,random_no_constants,0,50,10
16,test,dummy,Misrankings score,0.7396351575456053,random_no_constants,0,50,10
17,test,dummy,Loss,0.9263523700175024,random_no_constants,0,50,10
18,test,ELA,Loss,0.9411268100964802,random_no_constants,0,50,10
0,train,transformer,MSE,0.06041920930147171,random_no_constants,1,50,10
1,train,transformer,Misrankings score,0.8367201426024955,random_no_constants,1,50,10
2,train,transformer,Loss,0.9406960314772504,random_no_constants,1,50,10
3,train,dummy,MSE,0.10312650352716446,random_no_constants,1,50,10
4,train,dummy,Misrankings score,0.7524064171122995,random_no_constants,1,50,10
5,train,dummy,Loss,0.9368278394520303,random_no_constants,1,50,10
6,val,transformer,MSE,0.0624520480632782,random_no_constants,1,50,10
7,val,transformer,Misrankings score,0.843871325568497,random_no_constants,1,50,10
8,val,transformer,Loss,0.9406523620245609,random_no_constants,1,50,10
9,val,dummy,MSE,0.10111693292856216,random_no_constants,1,50,10
10,val,dummy,Misrankings score,0.7609539656128674,random_no_constants,1,50,10
11,val,dummy,Loss,0.9399705540545573,random_no_constants,1,50,10
12,test,transformer,MSE,0.07177995145320892,random_no_constants,1,50,10
13,test,transformer,Misrankings score,0.8366500829187397,random_no_constants,1,50,10
14,test,transformer,Loss,0.9230654310195131,random_no_constants,1,50,10
15,test,dummy,MSE,0.11108385771512985,random_no_constants,1,50,10
16,test,dummy,Misrankings score,0.7388059701492538,random_no_constants,1,50,10
17,test,dummy,Loss,0.9176038711415622,random_no_constants,1,50,10
18,test,ELA,Loss,0.9411642493303399,random_no_constants,1,50,10
0,train,transformer,MSE,0.059832677245140076,random_no_constants,2,50,10
1,train,transformer,Misrankings score,0.8446524064171123,random_no_constants,2,50,10
2,train,transformer,Loss,0.9415194023031026,random_no_constants,2,50,10
3,train,dummy,MSE,0.10182774066925049,random_no_constants,2,50,10
4,train,dummy,Misrankings score,0.753030303030303,random_no_constants,2,50,10
5,train,dummy,Loss,0.9388578648089932,random_no_constants,2,50,10
6,val,transformer,MSE,0.06095070391893387,random_no_constants,2,50,10
7,val,transformer,Misrankings score,0.8449805879090405,random_no_constants,2,50,10
8,val,transformer,Loss,0.9332887139396057,random_no_constants,2,50,10
9,val,dummy,MSE,0.10801960527896881,random_no_constants,2,50,10
10,val,dummy,Misrankings score,0.7504159733777038,random_no_constants,2,50,10
