,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget
0,train,transformer,MSE,0.07454633712768555,random_no_constants,0,50,10
1,train,transformer,Misrankings score,0.7924791086350975,random_no_constants,0,50,10
2,train,transformer,Loss,0.9242082968584239,random_no_constants,0,50,10
3,train,dummy,MSE,0.12446379661560059,random_no_constants,0,50,10
4,train,dummy,Misrankings score,0.7260909935004642,random_no_constants,0,50,10
5,train,dummy,Loss,0.9115476279606228,random_no_constants,0,50,10
6,val,transformer,MSE,0.07987116277217865,random_no_constants,0,50,10
7,val,transformer,Misrankings score,0.7836510687463893,random_no_constants,0,50,10
8,val,transformer,Loss,0.9143817844664894,random_no_constants,0,50,10
9,val,dummy,MSE,0.12769848108291626,random_no_constants,0,50,10
10,val,dummy,Misrankings score,0.7212593876372039,random_no_constants,0,50,10
11,val,dummy,Loss,0.9049694281255929,random_no_constants,0,50,10
12,test,transformer,MSE,0.07261397689580917,random_no_constants,0,50,10
13,test,transformer,Misrankings score,0.7936096718480138,random_no_constants,0,50,10
14,test,transformer,Loss,0.929527187131977,random_no_constants,0,50,10
15,test,dummy,MSE,0.12171074748039246,random_no_constants,0,50,10
16,test,dummy,Misrankings score,0.7245250431778929,random_no_constants,0,50,10
17,test,dummy,Loss,0.91306537644546,random_no_constants,0,50,10
18,test,ELA,Loss,0.9327460963863163,random_no_constants,0,50,10
0,train,transformer,MSE,0.0736309140920639,random_no_constants,1,50,10
1,train,transformer,Misrankings score,0.7924791086350975,random_no_constants,1,50,10
2,train,transformer,Loss,0.9211999773650831,random_no_constants,1,50,10
3,train,dummy,MSE,0.12606655061244965,random_no_constants,1,50,10
4,train,dummy,Misrankings score,0.7231197771587744,random_no_constants,1,50,10
5,train,dummy,Loss,0.9072521686911135,random_no_constants,1,50,10
6,val,transformer,MSE,0.08114710450172424,random_no_constants,1,50,10
7,val,transformer,Misrankings score,0.7839399191218949,random_no_constants,1,50,10
8,val,transformer,Loss,0.923743750727976,random_no_constants,1,50,10
9,val,dummy,MSE,0.12255166471004486,random_no_constants,1,50,10
10,val,dummy,Misrankings score,0.7342576545349508,random_no_constants,1,50,10
11,val,dummy,Loss,0.919281816532797,random_no_constants,1,50,10
12,test,transformer,MSE,0.076734259724617,random_no_constants,1,50,10
13,test,transformer,Misrankings score,0.7867012089810017,random_no_constants,1,50,10
14,test,transformer,Loss,0.930883309978413,random_no_constants,1,50,10
15,test,dummy,MSE,0.12262161076068878,random_no_constants,1,50,10
16,test,dummy,Misrankings score,0.7132987910189983,random_no_constants,1,50,10
17,test,dummy,Loss,0.910226522962624,random_no_constants,1,50,10
18,test,ELA,Loss,0.9407644739497437,random_no_constants,1,50,10
0,train,transformer,MSE,0.07515129446983337,random_no_constants,2,50,10
1,train,transformer,Misrankings score,0.7929433611884865,random_no_constants,2,50,10
2,train,transformer,Loss,0.9252350149729465,random_no_constants,2,50,10
3,train,dummy,MSE,0.12333551049232483,random_no_constants,2,50,10
4,train,dummy,Misrankings score,0.7298050139275766,random_no_constants,2,50,10
5,train,dummy,Loss,0.9124252928774758,random_no_constants,2,50,10
6,val,transformer,MSE,0.08213254809379578,random_no_constants,2,50,10
7,val,transformer,Misrankings score,0.7871172732524552,random_no_constants,2,50,10
8,val,transformer,Loss,0.9239973831379475,random_no_constants,2,50,10
9,val,dummy,MSE,0.1298271119594574,random_no_constants,2,50,10
10,val,dummy,Misrankings score,0.7111496244945118,random_no_constants,2,50,10
11,val,dummy,Loss,0.9078465454587406,random_no_constants,2,50,10
12,test,transformer,MSE,0.08194082975387573,random_no_constants,2,50,10
13,test,transformer,Misrankings score,0.7797927461139896,random_no_constants,2,50,10
14,test,transformer,Loss,0.9117606175790949,random_no_constants,2,50,10
15,test,dummy,MSE,0.12708444893360138,random_no_constants,2,50,10
16,test,dummy,Misrankings score,0.7202072538860104,random_no_constants,2,50,10
17,test,dummy,Loss,0.8963011006580126,random_no_constants,2,50,10
18,test,ELA,Loss,0.92443549020056,random_no_constants,2,50,10
0,train,transformer,MSE,0.07722823321819305,random_no_constants,3,50,10
1,train,transformer,Misrankings score,0.7870009285051067,random_no_constants,3,50,10
2,train,transformer,Loss,0.9162249684757432,random_no_constants,3,50,10
3,train,dummy,MSE,0.12551933526992798,random_no_constants,3,50,10
4,train,dummy,Misrankings score,0.7227483751160632,random_no_constants,3,50,10
5,train,dummy,Loss,0.9051187097576665,random_no_constants,3,50,10
6,val,transformer,MSE,0.07599730789661407,random_no_constants,3,50,10
7,val,transformer,Misrankings score,0.7917388792605431,random_no_constants,3,50,10
8,val,transformer,Loss,0.9393865968119225,random_no_constants,3,50,10
9,val,dummy,MSE,0.12308326363563538,random_no_constants,3,50,10
10,val,dummy,Misrankings score,0.7258809936452918,random_no_constants,3,50,10
11,val,dummy,Loss,0.9249243854590924,random_no_constants,3,50,10
12,test,transformer,MSE,0.0756412148475647,random_no_constants,3,50,10
13,test,transformer,Misrankings score,0.7970639032815199,random_no_constants,3,50,10
14,test,transformer,Loss,0.9291391621570403,random_no_constants,3,50,10
15,test,dummy,MSE,0.1257205605506897,random_no_constants,3,50,10
16,test,dummy,Misrankings score,0.7417962003454232,random_no_constants,3,50,10
17,test,dummy,Loss,0.9131995619007841,random_no_constants,3,50,10
18,test,ELA,Loss,0.9231630494715398,random_no_constants,3,50,10
0,train,transformer,MSE,0.09288527816534042,random_no_constants,4,50,10
1,train,transformer,Misrankings score,0.7638811513463324,random_no_constants,4,50,10
2,train,transformer,Loss,0.9216421794052665,random_no_constants,4,50,10
3,train,dummy,MSE,0.12510865926742554,random_no_constants,4,50,10
4,train,dummy,Misrankings score,0.7227483751160632,random_no_constants,4,50,10
5,train,dummy,Loss,0.9107205053360524,random_no_constants,4,50,10
6,val,transformer,MSE,0.08690403401851654,random_no_constants,4,50,10
