,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget
0,train,transformer,MSE,0.10632145404815674,random_no_constants,0,50,50
1,train,transformer,Misrankings score,0.7727771679473107,random_no_constants,0,50,50
2,train,transformer,Loss,0.9445037525221341,random_no_constants,0,50,50
3,train,dummy,MSE,0.1278882473707199,random_no_constants,0,50,50
4,train,dummy,Misrankings score,0.7467069154774972,random_no_constants,0,50,50
5,train,dummy,Loss,0.9445037525221341,random_no_constants,0,50,50
6,val,transformer,MSE,0.10949946939945221,random_no_constants,0,50,50
7,val,transformer,Misrankings score,0.7761660978384528,random_no_constants,0,50,50
8,val,transformer,Loss,0.9463471985654776,random_no_constants,0,50,50
9,val,dummy,MSE,0.130102276802063,random_no_constants,0,50,50
10,val,dummy,Misrankings score,0.7534129692832765,random_no_constants,0,50,50
11,val,dummy,Loss,0.9463471985654776,random_no_constants,0,50,50
12,test,transformer,MSE,0.10874193161725998,random_no_constants,0,50,50
13,test,transformer,Misrankings score,0.7916666666666666,random_no_constants,0,50,50
14,test,transformer,Loss,0.9582801265550177,random_no_constants,0,50,50
15,test,dummy,MSE,0.12448644638061523,random_no_constants,0,50,50
16,test,dummy,Misrankings score,0.7687074829931972,random_no_constants,0,50,50
17,test,dummy,Loss,0.9582801265550177,random_no_constants,0,50,50
18,test,ELA,Loss,0.9573328997529016,random_no_constants,0,50,50
0,train,transformer,MSE,0.09902052581310272,random_no_constants,1,50,50
1,train,transformer,Misrankings score,0.7781741675814123,random_no_constants,1,50,50
2,train,transformer,Loss,0.9422631551966469,random_no_constants,1,50,50
3,train,dummy,MSE,0.1288815438747406,random_no_constants,1,50,50
4,train,dummy,Misrankings score,0.74807903402854,random_no_constants,1,50,50
5,train,dummy,Loss,0.9422631551966469,random_no_constants,1,50,50
6,val,transformer,MSE,0.09991051256656647,random_no_constants,1,50,50
7,val,transformer,Misrankings score,0.7832764505119454,random_no_constants,1,50,50
8,val,transformer,Loss,0.9616919148942477,random_no_constants,1,50,50
9,val,dummy,MSE,0.1233169287443161,random_no_constants,1,50,50
10,val,dummy,Misrankings score,0.7588168373151308,random_no_constants,1,50,50
11,val,dummy,Loss,0.9616919148942477,random_no_constants,1,50,50
12,test,transformer,MSE,0.10475443303585052,random_no_constants,1,50,50
13,test,transformer,Misrankings score,0.7729591836734694,random_no_constants,1,50,50
14,test,transformer,Loss,0.9332309661385807,random_no_constants,1,50,50
15,test,dummy,MSE,0.13567179441452026,random_no_constants,1,50,50
16,test,dummy,Misrankings score,0.7397959183673469,random_no_constants,1,50,50
17,test,dummy,Loss,0.9332309661385807,random_no_constants,1,50,50
18,test,ELA,Loss,0.9324992458102727,random_no_constants,1,50,50
0,train,transformer,MSE,0.10624493658542633,random_no_constants,2,50,50
1,train,transformer,Misrankings score,0.7736919136480058,random_no_constants,2,50,50
2,train,transformer,Loss,0.9503297591666119,random_no_constants,2,50,50
3,train,dummy,MSE,0.12650243937969208,random_no_constants,2,50,50
4,train,dummy,Misrankings score,0.7502744237102086,random_no_constants,2,50,50
5,train,dummy,Loss,0.9503297591666119,random_no_constants,2,50,50
6,val,transformer,MSE,0.11322781443595886,random_no_constants,2,50,50
7,val,transformer,Misrankings score,0.7755972696245734,random_no_constants,2,50,50
8,val,transformer,Loss,0.9338741005060339,random_no_constants,2,50,50
9,val,dummy,MSE,0.12958374619483948,random_no_constants,2,50,50
10,val,dummy,Misrankings score,0.752844141069397,random_no_constants,2,50,50
11,val,dummy,Loss,0.9338741005060339,random_no_constants,2,50,50
12,test,transformer,MSE,0.12354698777198792,random_no_constants,2,50,50
13,test,transformer,Misrankings score,0.7636054421768708,random_no_constants,2,50,50
14,test,transformer,Loss,0.941414062047851,random_no_constants,2,50,50
15,test,dummy,MSE,0.13875426352024078,random_no_constants,2,50,50
16,test,dummy,Misrankings score,0.7372448979591837,random_no_constants,2,50,50
17,test,dummy,Loss,0.941414062047851,random_no_constants,2,50,50
18,test,ELA,Loss,0.9400336735061682,random_no_constants,2,50,50
