,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.15243108570575714,random_no_constants,0,50,50,80,40,20,40,2,20,2
1,train,transformer,Misrankings score,0.6699233716475096,random_no_constants,0,50,50,80,40,20,40,2,20,2
2,train,transformer,Loss,0.8535078557867347,random_no_constants,0,50,50,80,40,20,40,2,20,2
3,train,dummy,MSE,0.18166406452655792,random_no_constants,0,50,50,80,40,20,40,2,20,2
4,train,dummy,Misrankings score,0.6156130268199234,random_no_constants,0,50,50,80,40,20,40,2,20,2
5,train,dummy,Loss,0.7484792778524278,random_no_constants,0,50,50,80,40,20,40,2,20,2
6,val,transformer,MSE,0.15475526452064514,random_no_constants,0,50,50,80,40,20,40,2,20,2
7,val,transformer,Misrankings score,0.6541889483065954,random_no_constants,0,50,50,80,40,20,40,2,20,2
8,val,transformer,Loss,0.8517069687069385,random_no_constants,0,50,50,80,40,20,40,2,20,2
9,val,dummy,MSE,0.17948494851589203,random_no_constants,0,50,50,80,40,20,40,2,20,2
10,val,dummy,Misrankings score,0.6167557932263814,random_no_constants,0,50,50,80,40,20,40,2,20,2
11,val,dummy,Loss,0.7791152356929949,random_no_constants,0,50,50,80,40,20,40,2,20,2
12,tune,transformer,MSE,0.15786296129226685,random_no_constants,0,50,50,80,40,20,40,2,20,2
13,tune,transformer,Misrankings score,0.6568627450980392,random_no_constants,0,50,50,80,40,20,40,2,20,2
14,tune,transformer,Loss,0.8411713775504219,random_no_constants,0,50,50,80,40,20,40,2,20,2
15,tune,dummy,MSE,0.18769964575767517,random_no_constants,0,50,50,80,40,20,40,2,20,2
16,tune,dummy,Misrankings score,0.6007130124777184,random_no_constants,0,50,50,80,40,20,40,2,20,2
17,tune,dummy,Loss,0.7025818065947573,random_no_constants,0,50,50,80,40,20,40,2,20,2
18,test,transformer,MSE,0.15786296129226685,random_no_constants,0,50,50,80,40,20,40,2,20,2
19,test,transformer,Misrankings score,0.6568627450980392,random_no_constants,0,50,50,80,40,20,40,2,20,2
20,test,transformer,Loss,0.8411713775504219,random_no_constants,0,50,50,80,40,20,40,2,20,2
21,test,dummy,MSE,0.18769964575767517,random_no_constants,0,50,50,80,40,20,40,2,20,2
22,test,dummy,Misrankings score,0.6007130124777184,random_no_constants,0,50,50,80,40,20,40,2,20,2
23,test,dummy,Loss,0.7025818065947573,random_no_constants,0,50,50,80,40,20,40,2,20,2
24,test,ELA,Loss,0.8902962227547587,random_no_constants,0,50,50,80,40,20,40,2,20,2
0,train,transformer,MSE,0.13611741364002228,random_no_constants,1,50,50,80,20,10,80,3,100,1
1,train,transformer,Misrankings score,0.6883141762452107,random_no_constants,1,50,50,80,20,10,80,3,100,1
2,train,transformer,Loss,0.8695205389818131,random_no_constants,1,50,50,80,20,10,80,3,100,1
3,train,dummy,MSE,0.1805613487958908,random_no_constants,1,50,50,80,20,10,80,3,100,1
4,train,dummy,Misrankings score,0.6164750957854406,random_no_constants,1,50,50,80,20,10,80,3,100,1
5,train,dummy,Loss,0.7556200438289506,random_no_constants,1,50,50,80,20,10,80,3,100,1
6,val,transformer,MSE,0.13852086663246155,random_no_constants,1,50,50,80,20,10,80,3,100,1
