,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
5,train,dummy,Loss,0.8130661895508088,random_no_constants,2,50,10,70,10,10,20,3,20,2
6,val,transformer,MSE,0.06348898261785507,random_no_constants,2,50,10,70,10,10,20,3,20,2
7,val,transformer,Misrankings score,0.6708967851099831,random_no_constants,2,50,10,70,10,10,20,3,20,2
8,val,transformer,Loss,0.8789627780318157,random_no_constants,2,50,10,70,10,10,20,3,20,2
9,val,dummy,MSE,0.10753995180130005,random_no_constants,2,50,10,70,10,10,20,3,20,2
10,val,dummy,Misrankings score,0.5477618827872635,random_no_constants,2,50,10,70,10,10,20,3,20,2
11,val,dummy,Loss,0.8333083754588937,random_no_constants,2,50,10,70,10,10,20,3,20,2
12,tune,transformer,MSE,0.07495468854904175,random_no_constants,2,50,10,70,10,10,20,3,20,2
13,tune,transformer,Misrankings score,0.6759259259259259,random_no_constants,2,50,10,70,10,10,20,3,20,2
14,tune,transformer,Loss,0.8720883503444281,random_no_constants,2,50,10,70,10,10,20,3,20,2
15,tune,dummy,MSE,0.12417637556791306,random_no_constants,2,50,10,70,10,10,20,3,20,2
16,tune,dummy,Misrankings score,0.5211968166513621,random_no_constants,2,50,10,70,10,10,20,3,20,2
17,tune,dummy,Loss,0.8020261850087779,random_no_constants,2,50,10,70,10,10,20,3,20,2
18,test,transformer,MSE,0.07495468854904175,random_no_constants,2,50,10,70,10,10,20,3,20,2
19,test,transformer,Misrankings score,0.6759259259259259,random_no_constants,2,50,10,70,10,10,20,3,20,2
20,test,transformer,Loss,0.8720883503444281,random_no_constants,2,50,10,70,10,10,20,3,20,2
21,test,dummy,MSE,0.12417637556791306,random_no_constants,2,50,10,70,10,10,20,3,20,2
22,test,dummy,Misrankings score,0.5211968166513621,random_no_constants,2,50,10,70,10,10,20,3,20,2
23,test,dummy,Loss,0.8020261850087779,random_no_constants,2,50,10,70,10,10,20,3,20,2
24,test,ELA,Loss,0.909437484472046,random_no_constants,2,50,10,70,10,10,20,3,20,2
0,train,transformer,MSE,0.14077842235565186,random_no_constants,3,50,10,70,20,10,40,2,60,2
1,train,transformer,Misrankings score,0.5167078392621871,random_no_constants,3,50,10,70,20,10,40,2,60,2
2,train,transformer,Loss,0.8153146580275251,random_no_constants,3,50,10,70,20,10,40,2,60,2
3,train,dummy,MSE,0.12207285314798355,random_no_constants,3,50,10,70,20,10,40,2,60,2
4,train,dummy,Misrankings score,0.5327404479578393,random_no_constants,3,50,10,70,20,10,40,2,60,2
5,train,dummy,Loss,0.8173601128102995,random_no_constants,3,50,10,70,20,10,40,2,60,2
6,val,transformer,MSE,0.13197986781597137,random_no_constants,3,50,10,70,20,10,40,2,60,2
7,val,transformer,Misrankings score,0.5183048761728964,random_no_constants,3,50,10,70,20,10,40,2,60,2
8,val,transformer,Loss,0.7920814969272312,random_no_constants,3,50,10,70,20,10,40,2,60,2
9,val,dummy,MSE,0.11900359392166138,random_no_constants,3,50,10,70,20,10,40,2,60,2
10,val,dummy,Misrankings score,0.5307644977695739,random_no_constants,3,50,10,70,20,10,40,2,60,2
11,val,dummy,Loss,0.7981208800969037,random_no_constants,3,50,10,70,20,10,40,2,60,2
12,tune,transformer,MSE,0.1513277143239975,random_no_constants,3,50,10,70,20,10,40,2,60,2
13,tune,transformer,Misrankings score,0.5084175084175084,random_no_constants,3,50,10,70,20,10,40,2,60,2
14,tune,transformer,Loss,0.7824505445263533,random_no_constants,3,50,10,70,20,10,40,2,60,2
15,tune,dummy,MSE,0.12271770089864731,random_no_constants,3,50,10,70,20,10,40,2,60,2
16,tune,dummy,Misrankings score,0.5348178757269666,random_no_constants,3,50,10,70,20,10,40,2,60,2
17,tune,dummy,Loss,0.7881399467718259,random_no_constants,3,50,10,70,20,10,40,2,60,2
18,test,transformer,MSE,0.1513277143239975,random_no_constants,3,50,10,70,20,10,40,2,60,2
19,test,transformer,Misrankings score,0.5084175084175084,random_no_constants,3,50,10,70,20,10,40,2,60,2
20,test,transformer,Loss,0.7824505445263533,random_no_constants,3,50,10,70,20,10,40,2,60,2
21,test,dummy,MSE,0.12271770089864731,random_no_constants,3,50,10,70,20,10,40,2,60,2
22,test,dummy,Misrankings score,0.5348178757269666,random_no_constants,3,50,10,70,20,10,40,2,60,2
23,test,dummy,Loss,0.7881399467718259,random_no_constants,3,50,10,70,20,10,40,2,60,2
24,test,ELA,Loss,0.9166129473494683,random_no_constants,3,50,10,70,20,10,40,2,60,2
0,train,transformer,MSE,0.06383797526359558,random_no_constants,4,50,10,70,10,10,40,2,20,3
