,test_benchmark,model,score,value,train_benchmark,fold,sample_count_dimension_factor,budget,d_model,d_k,d_v,fc_size,n_heads,d_ff,n_layers
0,train,transformer,MSE,0.0841735377907753,random_no_constants,0,50,10,100,30,20,40,2,40,2
1,train,transformer,Misrankings score,0.7868152274837512,random_no_constants,0,50,10,100,30,20,40,2,40,2
2,train,transformer,Loss,0.9233044617284487,random_no_constants,0,50,10,100,30,20,40,2,40,2
3,train,dummy,MSE,0.12467535585165024,random_no_constants,0,50,10,100,30,20,40,2,40,2
4,train,dummy,Misrankings score,0.724233983286908,random_no_constants,0,50,10,100,30,20,40,2,40,2
5,train,dummy,Loss,0.9092852246995266,random_no_constants,0,50,10,100,30,20,40,2,40,2
6,val,transformer,MSE,0.08693958818912506,random_no_constants,0,50,10,100,30,20,40,2,40,2
7,val,transformer,Misrankings score,0.7560763888888888,random_no_constants,0,50,10,100,30,20,40,2,40,2
8,val,transformer,Loss,0.921084514751584,random_no_constants,0,50,10,100,30,20,40,2,40,2
9,val,dummy,MSE,0.12614960968494415,random_no_constants,0,50,10,100,30,20,40,2,40,2
10,val,dummy,Misrankings score,0.6987847222222222,random_no_constants,0,50,10,100,30,20,40,2,40,2
11,val,dummy,Loss,0.9127680272652489,random_no_constants,0,50,10,100,30,20,40,2,40,2
12,tune,transformer,MSE,0.08888661861419678,random_no_constants,0,50,10,100,30,20,40,2,40,2
13,tune,transformer,Misrankings score,0.7677029360967185,random_no_constants,0,50,10,100,30,20,40,2,40,2
14,tune,transformer,Loss,0.9210712945016168,random_no_constants,0,50,10,100,30,20,40,2,40,2
15,tune,dummy,MSE,0.12276247888803482,random_no_constants,0,50,10,100,30,20,40,2,40,2
16,tune,dummy,Misrankings score,0.7262521588946459,random_no_constants,0,50,10,100,30,20,40,2,40,2
17,tune,dummy,Loss,0.904082739603806,random_no_constants,0,50,10,100,30,20,40,2,40,2
18,test,transformer,MSE,0.08888661861419678,random_no_constants,0,50,10,100,30,20,40,2,40,2
19,test,transformer,Misrankings score,0.7677029360967185,random_no_constants,0,50,10,100,30,20,40,2,40,2
20,test,transformer,Loss,0.9210712945016168,random_no_constants,0,50,10,100,30,20,40,2,40,2
21,test,dummy,MSE,0.12276247888803482,random_no_constants,0,50,10,100,30,20,40,2,40,2
22,test,dummy,Misrankings score,0.7262521588946459,random_no_constants,0,50,10,100,30,20,40,2,40,2
23,test,dummy,Loss,0.904082739603806,random_no_constants,0,50,10,100,30,20,40,2,40,2
24,test,ELA,Loss,0.9192605507878834,random_no_constants,0,50,10,100,30,20,40,2,40,2
